PC Time	Time Meas	Mod No.	Mod Status	Range Innov	Range Uncer	Rate Innov	Rate Uncer	Sat Num
0.0000	 93.286976	1	8	  0.0107734	       8.3427171	 -0.1802512	       0.1549956	6
0.0000	 93.286976	2	8	  0.0361816	       8.4085504	 -0.1197181	       0.1512618	7
0.0000	 93.387008	3	8	  0.1092212	       8.1999631	 -0.0413663	       0.1501108	13
0.0000	 93.387008	4	8	  0.2645733	       8.4028935	  0.0843594	       0.1532954	14
0.0000	 93.387008	5	8	  0.2126131	       8.4124248	  0.1635839	       0.1425857	17
0.0000	 94.286976	0	8	  0.0461440	       8.3322771	  0.0397726	       0.2543770	3
0.0000	 94.286976	1	8	 -0.4190088	       8.3059768	 -0.1278415	       0.1519778	6
0.0000	 94.286976	2	8	 -0.9275895	       8.3660353	 -0.0911049	       0.1470213	7
0.0000	 94.387008	3	8	 -0.2889963	       8.1832474	 -0.0203228	       0.1480773	13
0.0000	 94.387008	4	8	 -0.0613612	       8.3616062	  0.0702675	       0.1492218	14
0.0000	 94.387008	5	8	 -0.0459294	       8.3694038	  0.1132528	       0.1400068	17
0.0000	 95.286976	0	8	  0.0990577	       8.2994025	 -0.0085994	       0.2521275	3
0.0000	 95.286976	1	8	 -0.2443148	       8.2769704	 -0.0637627	       0.1498240	6
0.0000	 95.286976	2	8	 -0.7681140	       8.3318925	 -0.0627904	       0.1438418	7
0.0000	 95.387008	3	8	 -0.3692478	       8.1698035	  0.0128332	       0.1464793	13
0.0000	 95.387008	4	8	 -0.1464797	       8.3283330	  0.0497436	       0.1457547	14
0.0000	 95.387008	5	8	 -0.0495112	       8.3348465	  0.0512172	       0.1381460	17
0.0000	 96.286976	0	8	  0.0794343	       8.2729704	 -0.0063092	       0.2502483	3
0.0000	 96.286976	1	8	 -0.2661022	       8.2535037	 -0.0229389	       0.1484068	6
0.0000	 96.286976	2	8	 -0.6431190	       8.3038836	 -0.0131165	       0.1413423	7
0.0000	 96.387008	3	8	 -0.1943823	       8.1587630	  0.0181464	       0.1450543	13
0.0000	 96.387008	4	8	 -0.0156944	       8.3009596	  0.0586254	       0.1427162	14
0.0000	 96.387008	5	8	  0.0865784	       8.3064888	  0.0130607	       0.1369499	17
0.0000	 97.286976	0	8	  0.0384963	       8.2512627	 -0.0820576	       0.2487754	3
0.0000	 97.286976	1	8	 -0.1300748	       8.2341341	  0.0169504	       0.1475444	6
0.0000	 97.286976	2	8	 -0.8055548	       8.2804996	  0.0198813	       0.1395079	7
0.0000	 97.387008	3	8	 -0.1819094	       8.1495371	  0.0313898	       0.1439654	13
0.0000	 97.387008	4	8	 -0.0564850	       8.2780544	  0.0516003	       0.1402081	14
0.0000	 97.387008	5	8	 -0.0920323	       8.2828091	 -0.0405248	       0.1362821	17
0.0000	 98.286976	0	8	  0.1331455	       8.2331259	 -0.0541736	       0.2477179	3
0.0000	 98.286976	1	8	 -0.2401600	       8.2178857	  0.0290173	       0.1470545	6
0.0000	 98.286976	2	8	 -0.8033257	       8.2606936	  0.0049629	       0.1382224	7
0.0000	 98.387008	3	8	 -0.2444298	       8.1417191	  0.0619992	       0.1431856	13
0.0000	 98.387008	4	8	 -0.1318157	       8.2586186	  0.0427431	       0.1382798	14
0.0000	 98.387008	5	8	 -0.0394052	       8.2627465	 -0.0592720	       0.1359715	17
0.0000	 99.286976	0	8	  0.0421581	       8.2177502	 -0.0831815	       0.2468959	3
0.0000	 99.286976	1	8	 -0.1029669	       8.2040662	  0.0645278	       0.1467633	6
0.0000	 99.286976	2	8	 -0.3881554	       8.2437064	  0.0687894	       0.1372663	7
0.0000	 99.387008	3	8	 -0.0726537	       8.1350116	  0.0705083	       0.1426059	13
0.0000	 99.387008	4	8	 -0.0410650	       8.2419241	  0.0638776	       0.1368051	14
0.0000	 99.387008	5	8	  0.1164859	       8.2455372	 -0.1007222	       0.1358250	17
0.0000	100.286976	0	8	  0.1083315	       8.2045581	 -0.0991312	       0.2462756	3
0.0000	100.286976	1	8	 -0.0178834	       8.1921741	  0.0598489	       0.1465639	6
0.0000	100.286976	2	8	 -0.4630118	       8.2289827	  0.0339865	       0.1365652	7
0.0000	100.387008	3	8	 -0.0856393	       8.1291967	  0.0728963	       0.1421927	13
0.0000	100.387008	4	8	  0.0218407	       8.2274370	  0.0539053	       0.1356979	14
0.0000	100.387008	5	8	  0.0954250	       8.2306194	 -0.0989176	       0.1357063	17
0.0000	101.286976	0	8	  0.1411241	       8.1931175	 -0.1181262	       0.2458305	3
0.0000	101.286976	1	8	  0.1501040	       8.1818381	  0.0806969	       0.1463863	6
0.0000	101.286976	2	8	 -0.3623189	       8.2161035	  0.0606900	       0.1360453	7
0.0000	101.387008	3	8	 -0.0476263	       8.1241107	  0.0733230	       0.1419176	13
0.0000	101.387008	4	8	  0.0830281	       8.2147532	  0.0521828	       0.1348615	14
0.0000	101.387008	5	8	 -0.0631761	       8.2175687	 -0.1077089	       0.1355835	17
0.0000	102.286976	0	8	  0.2785680	       8.1831071	 -0.0789804	       0.2455684	3
0.0000	102.286976	1	8	  0.0856126	       8.1727768	  0.0730759	       0.1462635	6
0.0000	102.286976	2	8	 -0.3905164	       8.2047478	  0.0508402	       0.1357023	7
0.0000	102.387008	3	8	  0.0279278	       8.1196271	  0.0733697	       0.1418003	13
0.0000	102.387008	4	8	  0.0543389	       8.2035617	  0.0716975	       0.1343143	14
0.0000	102.387008	5	8	  0.0939814	       8.2060597	 -0.1009792	       0.1354933	17
0.0000	103.286976	0	8	  0.1607741	       8.1742796	 -0.0944993	       0.2457241	3
0.0000	103.286976	1	8	 -0.0449767	       8.1647736	  0.0599124	       0.1462272	6
0.0000	103.286976	2	8	 -0.2203481	       8.1946627	  0.0486677	       0.1355913	7
0.0000	103.387008	3	8	 -0.0448668	       8.1156506	  0.0724342	       0.1427569	13
