2,2,100,1,GDOP, 900720000.0
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
1300,1111095.2098,669.5000,6259149.0379,-0.3103,514.9999,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00060255851,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.2098,669.5000,6259149.0379,-0.3103,514.9999,0.0000,-0.239,0.000,0.000,1.39626340160,0.00060255851,-400.0000,2.608
1400,1111095.1776,720.9999,6259149.0379,-0.3342,514.9999,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00064890917,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.1776,720.9999,6259149.0379,-0.3342,514.9999,0.0000,-0.239,0.000,0.000,1.39626340160,0.00064890917,-400.0000,2.608
1500,1111095.1430,772.4999,6259149.0379,-0.3581,514.9999,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00069525982,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.1430,772.4999,6259149.0379,-0.3581,514.9999,0.0000,-0.239,0.000,0.000,1.39626340160,0.00069525982,-400.0000,2.608
1600,1111095.1060,823.9999,6259149.0379,-0.3819,514.9999,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00074161048,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.1060,823.9999,6259149.0379,-0.3819,514.9999,0.0000,-0.239,0.000,0.000,1.39626340160,0.00074161048,-400.0000,2.608
1700,1111095.0666,875.4999,6259149.0379,-0.4058,514.9998,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00078796113,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.0666,875.4999,6259149.0379,-0.4058,514.9998,0.0000,-0.239,0.000,0.000,1.39626340160,0.00078796113,-400.0000,2.608
1800,1111095.0248,926.9999,6259149.0379,-0.4297,514.9998,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00083431179,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111095.0248,926.9999,6259149.0379,-0.4297,514.9998,0.0000,-0.239,0.000,0.000,1.39626340160,0.00083431179,-400.0000,2.608
1900,1111094.9807,978.4999,6259149.0379,-0.4535,514.9998,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00088066244,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.9807,978.4999,6259149.0379,-0.4535,514.9998,0.0000,-0.239,0.000,0.000,1.39626340160,0.00088066244,-400.0000,2.608
2000,1111094.9341,1029.9999,6259149.0379,-0.4774,514.9998,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00092701310,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.9341,1029.9999,6259149.0379,-0.4774,514.9998,0.0000,-0.239,0.000,0.000,1.39626340160,0.00092701310,-400.0000,2.608
2100,1111094.8852,1081.4998,6259149.0379,-0.5013,514.9998,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00097336375,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.8852,1081.4998,6259149.0379,-0.5013,514.9998,0.0000,-0.239,0.000,0.000,1.39626340160,0.00097336375,-400.0000,2.608
2200,1111094.8339,1132.9998,6259149.0379,-0.5252,514.9997,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00101971441,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.8339,1132.9998,6259149.0379,-0.5252,514.9997,0.0000,-0.239,0.000,0.000,1.39626340160,0.00101971441,-400.0000,2.608
2300,1111094.7802,1184.4998,6259149.0379,-0.5490,514.9997,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00106606506,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.7802,1184.4998,6259149.0379,-0.5490,514.9997,0.0000,-0.239,0.000,0.000,1.39626340160,0.00106606506,-400.0000,2.608
2400,1111094.7241,1235.9997,6259149.0379,-0.5729,514.9997,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00111241572,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.7241,1235.9997,6259149.0379,-0.5729,514.9997,0.0000,-0.239,0.000,0.000,1.39626340160,0.00111241572,-400.0000,2.608
